MONTH,DAY,DAY OF MONTH,HOME,AWAY,HOME RUBBERS,AWAY RUBBERS,HOME GAMES,AWAY GAMES
September,8:00pm Thu,22nd,The Edge,Eagles B,1,5,4,10
October,7:00pm Wed,12th,Four Marks B,Eagles B,4,2,8,5
,7:40pm Wed,19th,Eagles B,Alresford,4,2,10,4
November,7:30pm Wed,9th,Alresford,Four Marks B,2,4,6,10
,7:30pm Wed,30th,Alresford,The Edge,4,2,8,5
December,8:00pm Thu,8th,The Edge,Four Marks B,1,5,4,10
January,7:40pm Wed,11th,Eagles B,The Edge,3,3,6,6
,7:30pm Wed,18th,Alresford,Eagles B,5,1,10,2
February,7:40pm Wed,1st,Eagles B,Four Marks B,0,6,2,12
,8:00pm Thu,9th,The Edge,Alresford,3,3,6,6
March,7:00pm Mon,27th,Four Marks B,The Edge,5,1,10,2
April,7:00pm Wed,19th,Four Marks B,Alresford,3,3,8,6
