MONTH,DAY,DAY OF MONTH,HOME,AWAY,HOME GAMES,AWAY GAMES
October,7:40pm Wed,5th,Eagles A,Eagles B,11,0
,8:00pm Tue,11th,The Grange,Eagles A,11,2
,7:40pm Wed,26th,Eagles B,Eagles A,0,11
November,7:40pm Wed,30th,Eagles B,Four Marks,0,12
December,8:00pm Tue,6th,The Grange,Eagles B,12,0
January,7:40pm Wed,4th,Eagles A,The Grange,6,10
,7:00pm Mon,30th,Four Marks,Eagles B,12,0
March,7:40pm Wed,15th,Eagles A,Four Marks,0,12
,7:40pm Wed,29th,Eagles B,The Grange,0,12
,7:00pm Wed,29th,Four Marks,Eagles A,12,0
April,7:00pm Mon,24th,Four Marks,The Grange,11,3
May,8:00pm Wed,3rd,The Grange,Four Marks,6,8
