MONTH,DAY,DAY OF MONTH,HOME,AWAY,HOME GAMES,AWAY GAMES
September,8:00pm Thu,15th,The Edge,Haslemere,12,1
,7:00pm Mon,26th,Four Marks A,Four Marks B,10,4
,7:40pm Wed,28th,Eagles,The Edge,2,11
October,7:00pm Mon,3rd,Four Marks B,Haslemere,2,12
,8:00pm Mon,3rd,Midhurst '82,The Edge,8,4
,8:00pm Thu,20th,The Edge,Four Marks A,8,7
November,7:00pm Wed,2nd,Four Marks A,Midhurst '82,9,5
,7:40pm Wed,2nd,Eagles,Haslemere,4,8
,7:40pm Wed,9th,Eagles,Midhurst '82,6,7
,7:40pm Wed,16th,Eagles,Four Marks A,7,7
,7:40pm Wed,23rd,Eagles,Four Marks B,9,6
,8:00pm Mon,28th,Midhurst '82,Four Marks B,12,0
December,7:00pm Mon,5th,Four Marks B,Four Marks A,2,10
,7:00pm Wed,14th,Four Marks B,The Edge,4,12
January,8:00pm Thu,5th,The Edge,Eagles,10,4
,8:00pm Mon,9th,Midhurst '82,Four Marks A,7,6
,7:00pm Mon,23rd,Four Marks A,The Edge,6,7
,8:00pm Mon,23rd,Midhurst '82,Haslemere,7,7
February,7:20pm Fri,10th,Haslemere,Four Marks B,12,0
,7:20pm Fri,17th,Haslemere,The Edge,3,12
,8:00pm Mon,20th,Midhurst '82,Eagles,8,5
,7:20pm Fri,24th,Haslemere,Four Marks A,7,7
March,7:00pm Mon,6th,Four Marks B,Midhurst '82,9,7
,7:00pm Wed,8th,Four Marks A,Haslemere,8,7
,8:00pm Thu,16th,The Edge,Midhurst '82,7,7
,7:00pm Wed,22nd,Four Marks A,Eagles,10,4
,7:20pm Fri,31st,Haslemere,Midhurst '82,3,10
April,7:00pm Wed,5th,Four Marks B,Eagles,5,10
,7:20pm Fri,21st,Haslemere,Eagles,12,0
Walkover, , ,The Edge,Four Marks B,12,0
