MONTH,TIME,DAY,HOME,AWAY,HOME RUBBERS,AWAY RUBBERS,HOME GAMES,AWAY GAMES
November,7:00pm Wed,27th,Alresford,Eagles B,4,2,8,4
December,7:00pm Mon,16th,Four Marks B,Eagles B,3,3,8,7
January,7:20pm Wed,15th,Eagles B,Alresford,3,3,7,7
February,7:30pm Wed,5th,Alresford,Four Marks B,2,4,6,9
March,7:00pm Mon,2nd,Four Marks B,Alresford,5,1,10,5
April,7:20pm Wed,15th,Eagles B,Four Marks B,,,,
