MONTH,TIME,DAY,HOME,AWAY,HOME RUBBERS,AWAY RUBBERS,HOME GAMES,AWAY GAMES
October,7:20pm Wed,2nd,Eagles A,Four Marks A,1,5,3,10
,7:00pm Mon,21st,Four Marks A,Midhurst ‘82,5,1,10,4
February,8:00pm Mon,10th,Midhurst ‘82,Four Marks A,3,3,7,7
March,8:00pm Mon,16th,Midhurst ‘82,Eagles A,6,0,12,1
,7:20pm Wed,25th,Eagles A,Midhurst ‘82,,,,
,7:00pm Mon,30th,Four Marks A,Eagles A,,,,
