MONTH,DAY,DAY OF MONTH,HOME,AWAY,HOME GAMES,AWAY GAMES
September,Tue,24th,Eagles,Liss B,12,2
October,Fri,4th,Petersfield,Liss A,1,12
,Sun,6th,Treloar,Midhurst '82,9,4
,Fri,11th,Petersfield,Eagles,5,8
,Mon,14th,Liss A,Four Marks,7,6
,Thu,17th,Four Marks,Eagles,7,9
,Fri,18th,Midhurst '82,Liss B,12,1
,Tue,22nd,Eagles,Midhurst '82,12,3
November,Sun,3rd,Treloar,Petersfield,12,1
,Mon,4th,Liss A,Eagles,4,10
,Mon,11th,Liss B,Midhurst '82,5,10
,Fri,15th,Midhurst '82,Four Marks,5,11
,Sun,17th,Treloar,Liss A,10,5
,Fri,22nd,Midhurst '82,Liss A,10,5
,Mon,25th,Four Marks,Treloar,8,6
,Thu,28th,Four Marks,Petersfield,12,1
December,Mon,2nd,Four Marks,Midhurst '82,11,5
,Mon,2nd,Liss B,Liss A,0,0
,Tue,3rd,Eagles,Treloar,3,11
,Mon,9th,Liss A,Liss B,0,0
January,Sun,5th,Treloar,Liss B,12,0
,Tue,14th,Eagles,Petersfield,12,0
,Sun,19th,Treloar,Four Marks,10,3
,Mon,20th,Liss A,Petersfield,12,0
,Mon,27th,Liss B,Petersfield,3,11
,Tue,28th,Eagles,Four Marks,12,3
February,Mon,3rd,Four Marks,Liss B,8,5
,Mon,3rd,Liss A,Midhurst '82,6,6
,Fri,7th,Petersfield,Treloar,1,12
,Mon,10th,Liss B,Eagles,4,11
,Fri,14th,Midhurst '82,Petersfield,12,2
,Fri,21st,Petersfield,Liss B,6,8
,Mon,24th,Four Marks,Liss A,11,2
March,Mon,10th,Liss B,Four Marks,5,9
,Tue,11th,Eagles,Liss A,9,5
,Fri,14th,Petersfield,Four Marks,1,12
,Mon,17th,Liss B,Treloar,0,12
,Fri,21st,Midhurst '82,Treloar,0,12
,Mon,24th,Liss A,Treloar,2,12
,Fri,28th,Petersfield,Midhurst '82,3,12
April,Sun,6th,Treloar,Eagles,10,5
,Fri,11th,Midhurst '82,Eagles,3,12
