MONTH,DAY,DAY OF MONTH,HOME,AWAY,HOME RUBBERS,AWAY RUBBERS,HOME GAMES,AWAY GAMES
September,Sun,29th,Treloar A,Eagles A,6,0,12,0
October,Thu,3rd,Eagles A,Four Marks A,3,3,8,7
,Sun,13th,Treloar B,Four Marks B,3,3,9,6
,Wed,16th,Four Marks A,Four Marks B,5,1,11,2
,Sun,20th,Treloar B,Four Marks A,5,1,11,4
,Mon,21st,Four Marks B,Eagles A,0,6,2,12
November,Thu,7th,Four Marks A,Treloar A,3,3,6,6
,Mon,11th,Four Marks B,Treloar A,0,6,0,12
,Thu,14th,Eagles A,Treloar B,3,3,8,7
,Thu,21st,Four Marks B,Four Marks A,0,6,2,12
December,Sun,8th,Treloar A,Treloar B,5,1,10,3
,Sun,22nd,Treloar B,Treloar A,1,5,2,11
January,Thu,23rd,Eagles A,Four Marks B,6,0,12,0
February,Sun,2nd,Treloar B,Eagles A,2,4,4,9
,Sun,9th,Treloar A,Four Marks A,6,0,12,1
,Thu,27th,Four Marks B,Treloar B,0,6,2,12
March,Sun,2nd,Treloar A,Four Marks B,6,0,12,0
,Thu,6th,Four Marks A,Eagles A,1,5,3,10
,Mon,10th,Four Marks A,Treloar B,4,2,8,5
,Thu,13th,Eagles A,Treloar A,5,1,10,4
