MONTH,DAY,DAY OF MONTH,HOME,AWAY,HOME RUBBERS,AWAY RUBBERS,HOME GAMES,AWAY GAMES
September,Thu,26th,Eagles B,Eagles C,1,5,5,11
October,Wed,16th,Alresford,Eagles C,6,0,12,0
,Thu,24th,Eagles B,Petersfield,5,1,10,4
,Thu,31st,Eagles B,Eagles C,3,3,9,7
November,Fri,1st,Petersfield,Alresford,3,3,6,8
,Thu,7th,Eagles C,Alresford,1,5,2,10
,Wed,13th,Alresford,Eagles B,5,1,10,2
,Fri,22nd,Petersfield,Eagles B,4,2,9,6
,Thu,28th,Eagles B,Alresford,5,1,10,3
December,Thu,5th,Eagles C,Eagles B,0,6,1,12
,Wed,11th,Alresford,Petersfield,6,0,12,0
January,Thu,9th,Eagles C,Petersfield,1,5,2,11
,Wed,22nd,Alresford,Eagles C,6,0,12,0
,Fri,31st,Petersfield,Eagles B,4,2,8,5
February,Thu,20th,Eagles C,Petersfield,1,5,3,11
,Fri,28th,Petersfield,Eagles C,6,0,12,0
March,Thu,20th,Eagles B,Alresford,0,6,0,12
April,Fri,4th,Petersfield,Alresford,1,5,3,11
