MONTH,DAY,DAY OF MONTH,HOME,AWAY,HOME GAMES,AWAY GAMES
October,Mon,10th,Four Marks,Midhurst '82,6,7
,Sun,16th,Liss,Eagles,9,8
,Sun,30th,Liss,Midhurst '82,9,5
November,Wed,23rd,Eagles,Midhurst '82,9,3
December,Fri,9th,Midhurst '82,Treloar,5,9
January,Fri,6th,Midhurst '82,Four Marks,9,5
,Mon,16th,Four Marks,Eagles,11,3
,Sun,29th,Treloar,Liss,0,12
February,*Thu,2nd,Four Marks,Liss,0,12
,Sun,5th,Treloar,Four Marks,6,9
,*Wed,22nd,Eagles,Liss,0,12
March,Fri,3rd,Midhurst '82,Liss,3,11
,Wed,15th,Eagles,Treloar,0,12
,Wed,22nd,Eagles,Four Marks,7,6
April,Mon,10th,Liss,Four Marks,6,8
Walkover, , ,Liss,Treloar,12,0
, , ,Four Marks,Treloar,12,0
, , ,Treloar,Eagles,0,12
, , ,Treloar,Midhurst '82,0,12
, , ,Midhurst '82,Eagles,12,0
