MONTH,DAY,DAY OF MONTH,HOME,AWAY,HOME RUBBERS,AWAY RUBBERS,HOME GAMES,AWAY GAMES
October,Tue,14th,Eagles,The Edge,5,1,11,3
November,Thu,6th,The Edge,Four Marks,2,3,7,8
January,Thu,8th,The Edge,Eagles,2,3,7,8
March,Tue,17th,Eagles,Four Marks,5,1,,
Walkover, , ,Four Marks,The Edge,6,0,,
Unknown, , ,Four Marks,Eagles,0,0,,
