MONTH,DAY,DAY OF MONTH,HOME,AWAY,HOME RUBBERS,AWAY RUBBERS,HOME GAMES,AWAY GAMES
September,Thu,11th,The Edge A,The Edge B,4,1,10,7
November,Mon,3rd,Four Marks A,Eagles A,6,0,12,1
,Thu,13th,The Edge B,Eagles A,0,6,0,12
,Fri,14th,Midhurst '82,The Edge A,6,0,12,0
,Mon,17th,Four Marks A,The Edge B,6,0,12,0
December,Tue,2nd,Eagles A,Midhurst '82,3,3,6,6
,Thu,4th,The Edge B,The Edge A,2,3,7,8
January,Thu,29th,The Edge A,Four Marks A,2,4,5,9
February,Thu,5th,The Edge A,Midhurst '82,6,0,12,0
,Tue,10th,Eagles A,Four Marks A,2,4,5,8
,Thu,12th,The Edge A,Eagles A,2,4,5,6
,Fri,13th,Midhurst '82,The Edge B,4,2,10,5
,Thu,19th,The Edge B,Midhurst '82,0,12,,
,Mon,23rd,Four Marks A,The Edge A,5,1,10,2
March,Fri,6th,Midhurst '82,Eagles A,2,4,7,8
,Wed,18th,Four Marks A,Midhurst '82,6,0,12,0
,Thu,26th,The Edge B,Four Marks A,3,3,7,9
,Tue,31st,Eagles A,The Edge A,3,3,9,6
April,Fri,10th,Midhurst '82,Four Marks A,2,4,5,10
,Tue,21st,Eagles A,The Edge B,6,0,12,0
