MONTH,DAY,DAY OF MONTH,HOME,AWAY,HOME GAMES,AWAY GAMES
September,Thu,25th,The Edge,Four Marks A,12,1
October,Fri,3rd,Midhurst '82,The Edge,8,7
,Fri,3rd,Haslemere,Eagles,11,3
,Fri,10th,Midhurst '82,Haslemere,11,3
,Wed,15th,Four Marks A,Eagles,9,4
,Mon,20th,Four Marks B,The Edge,2,12
,Fri,24th,Midhurst '82,Four Marks A,11,4
,Thu,30th,The Edge,Eagles,11,3
November,Tue,11th,Eagles,Four Marks B,12,1
,Wed,12th,Four Marks A,Haslemere,12,1
,Wed,19th,Four Marks B,Midhurst '82,7,7
December,Wed,10th,Four Marks A,Four Marks B,12,1
,Mon,15th,Four Marks B,Four Marks A,3,10
January,Tue,13th,Eagles,Four Marks A,10,4
,Thu,15th,The Edge,Haslemere,11,5
,Mon,19th,Four Marks A,The Edge,8,7
,Fri,23rd,Midhurst '82,Eagles,1,12
,Fri,30th,Haslemere,Midhurst '82,6,7
February,Tue,17th,Eagles,Haslemere,4,10
,Fri,20th,Haslemere,The Edge,5,9
,Fri,27th,Haslemere,Four Marks A,9,6
March,Thu,5th,The Edge,Four Marks B,12,0
,Fri,13th,Midhurst '82,Four Marks B,12,0
,Tue,17th,Eagles,The Edge,9,5
,Mon,23rd,Four Marks B,Haslemere,5,9
,Tue,24th,Eagles,Midhurst '82,7,6
April,Fri,10th,Haslemere,Four Marks B,11,1
,Wed,15th,Four Marks A,Midhurst '82,6,9
,Wed,29th,Four Marks B,Eagles,3,10
May,Thu,14th,The Edge,Midhurst '82,5,10
