MONTH,DAY,DAY OF MONTH,HOME,AWAY,HOME RUBBERS,AWAY RUBBERS,HOME GAMES,AWAY GAMES
October,Thu,16th,The Edge C,Four Marks B,1,5,4,10
November,Wed,12th,Alresford,The Edge C,2,4,6,8
,Tue,18th,Eagles B,Four Marks B,5,1,11,7
,Tue,25th,Eagles B,The Edge C,4,2,8,4
December,Wed,3rd,Four Marks B,Alresford,5,1,10,3
January,Thu,8th,The Edge C,Eagles B,0,6,0,12
,Tue,27th,Eagles B,Alresford,6,0,12,0
February,Wed,11th,Alresford,Four Marks B,2,4,5,9
,Wed,25th,Four Marks B,Eagles B,2,4,5,8
March,Mon,16th,Four Marks B,The Edge C,6,0,12,0
April,Wed,1st,Alresford,Eagles B,1,5,3,10
,Thu,9th,The Edge C,Alresford,3,3,6,7
