MONTH,DAY,DAY OF MONTH,HOME,AWAY,HOME GAMES,AWAY GAMES
September,Mon,29th,Four Marks,The Edge,11,2
October,Wed,22nd,Four Marks,Eagles,6,11
November,Thu,6th,The Edge,The Grange,7,8
,Mon,24th,Four Marks,The Grange,12,1
December,Tue,9th,The Grange,Eagles,5,11
January,Tue,20th,Eagles,Four Marks,6,7
March,Tue,10th,Eagles,The Edge,9,4
,Tue,10th,The Grange,Four Marks,9,5
,Thu,19th,The Edge,Four Marks,6,7
April,Tue,7th,The Grange,The Edge,12,0
,Thu,16th,The Edge,Eagles,7,7
May,Tue,5th,Eagles,The Grange,3,10
