MONTH,DAY,DAY OF MONTH,HOME,AWAY,HOME GAMES,AWAY GAMES
October,Sun,8th,Haslemere A,Eagles,12,0
,Tue,17th,Eagles,Liss,0,12
,Sun,22nd,Haslemere B,Midhurst '82,1,12
,Sun,29th,Haslemere B,Treloar,9,4
,Tue,31st,Midhurst '82,Haslemere A,7,6
November,Fri,10th,Midhurst '82,Liss,10,2
,Fri,24th,Midhurst '82,Treloar,6,6
,Tue,28th,Eagles,Haslemere B,6,7
December,Sun,3rd,Treloar,Haslemere A,0,12
,Sun,10th,Haslemere B,Haslemere A,1,12
,Tue,12th,Eagles,Midhurst '82,4,9
,Sun,17th,Haslemere A,Haslemere B,12,0
January,Sun,14th,Treloar,Liss,6,6
,Tue,16th,Midhurst '82,Haslemere B,9,4
,Tue,16th,Eagles,Treloar,2,12
,Sun,21th,Haslemere B,Eagles,8,4
,Sun,28th,Haslemere A,Treloar,10,3
,Sun,28th,Liss,Eagles,12,3
February,Fri,9th,Liss,Treloar,1,6
,Fri,9th,Midhurst '82,Eagles,12,0
,Wed,16th,Liss,Midhurst '82,5,8
,Sun,25th,Haslemere B,Liss,4,8
,Sun,25th,Treloar,Midhurst '82,8,6
,Tue,27th,Eagles,Haslemere A,1,12
March,Sun,11th,Haslemere A,Midhurst '82,6,6
,Sun,11th,Treloar,Haslemere B,9,4
April,Sun,1st,Treloar,Eagles,12,0
,Sun,1st,Haslemere A,Liss,12,0
Unknown, , ,Liss,Haslemere A,0,12
, , ,Liss,Haslemere B,12,0
