MONTH,DAY,DAY OF MONTH,HOME,AWAY,HOME GAMES,AWAY GAMES
October,Tue,31st,Eagles,Liss,1,12
November,Thu,2nd,Four Marks,Liss,4,11
,Fri,3rd,Midhurst '82,Treloar,9,5
,Sun,12th,Liss,Midhurst '82,9,6
,Mon,27th,Four Marks,Midhurst '82,12,1
December,Sun,9th,Treloar,Four Marks,12,0
January,Fri,12th,Liss,Treloar,12,1
,Sun,21st,Treloar,Eagles,7,7
,Thu,25th,Four Marks,Eagles,12,1
,Tue,30th,Eagles,Treloar,6,8
February,Sun,4th,Liss,Four Marks,9,4
,Fri,16th,Midhurst '82,Liss,1,12
,Sun,25th,Treloar,Midhurst '82,0,12
March,Fri,2nd,Liss,Eagles,12,0
,Tue,6th,Eagles,Four Marks,3,10
,Fri,12th,Midhurst '82,Four Marks,12,0
,Sun,18th,Treloar,Liss,12,0
,Tue,27th,Eagles,Midhurst '82,2,11
April,Mon,30th,Four Marks,Treloar,8,5
Walkover, , ,Midhurst '82,Eagles,12,0
