MONTH,DAY,DAY OF MONTH,HOME,AWAY,HOME RUBBERS,AWAY RUBBERS,HOME GAMES,AWAY GAMES
October,Tue,3rd,Eagles A,Eagles B,6,0,12,0
,Wed,11th,Alresford,Eagles A,0,6,0,12
,Mon,30th,Four Marks,Treloar,1,5,2,10
November,Sun,5th,Treloar,Liss,4,2,8,4
,Tue,7th,Eagles A,Four Marks,2,4,4,8
,Wed,8th,Alresford,Eagles B,3,3,8,8
,Sun,19th,Treloar,Eagles B,4,2,9,4
,Tue,21st,Eagles A,Liss,6,0,12,2
,Thu,23rd,Four Marks,Alresford,5,1,11,3
,Wed,29th,Alresford,Treloar,2,4,4,8
December,Sun,3rd,Liss,Eagles B,6,0,12,0
,Tue,5th,Eagles A,Treloar,4,2,9,5
,Fri,8th,Liss,Alresford,3,3,6,6
,Thu,14th,Four Marks,Liss,3,3,8,8
January,Sun,7th,Treloar,Four Marks,5,1,10,2
,Tue,9th,Eagles B,Eagles A,0,6,1,12
,Wed,17th,Alresford,Four Marks,0,6,0,12
,Tue,23rd,Eagles B,Treloar,1,5,3,11
February,Thu,1st,Four Marks,Eagles B,5,1,10,2
,Sun,4th,Treloar,Eagles A,4,2,10,5
,Tue,6th,Eagles B,Four Marks,4,2,9,4
,Tue,13th,Eagles B,Alresford,6,0,12,0
March,Sun,4th,Treloar,Alresford,6,0,12,0
,Wed,7th,Alresford,Liss,2,4,7,8
,Sun,11th,Liss,Four Marks,4,2,9,5
,Tue,13th,Eagles A,Alresford,4,2,9,4
,Tue,20th,Eagles B,Liss,0,6,0,12
,Fri,30th,Liss,Treloar,0,6,0,12
April,Thu,12th,Liss,Eagles A,3,3,6,8
Unplayed, , ,Four Marks,Eagles A,0,0,,
