MONTH,DAY,DAY OF MONTH,HOME,AWAY,HOME RUBBERS,AWAY RUBBERS,HOME GAMES,AWAY GAMES
October,Sun,5th,Haslemere B,Eagles,6,3,15,6
,Mon,6th,Four Marks,Midhurst '82,2,7,5,15
,Sun,12th,Haslemere A,Liss,9,0,18,1
,Thu,16th,Four Marks,Haslemere B,3,6,10,12
,Fri,17th,Midhurst '82,Eagles,7,2,16,5
,Mon,20th,Four Marks,Eagles,5,4,10,9
November,Thu,6th,Four Marks,Treloar,4,5,8,10
,Fri,14th,Midhurst '82,Haslemere A,2,7,5,14
,Sun,16th,Haslemere B,Four Marks,8,1,16,2
,Sun,16th,Treloar,Liss,8,1,16,3
,Fri,21st,Midhurst '82,Liss,9,0,18,0
,Sun,30th,Treloar,Haslemere B,7,2,15,7
December,Sun,7th,Haslemere B,Haslemere A,3,6,7,14
,Mon,8th,Liss,Haslemere A,3,6,8,12
,Sun,15th,Haslemere A,Haslemere B,9,0,12,1
January,Sun,4th,Haslemere A,Four Marks,9,0,18,1
,Mon,5th,Liss,Treloar,1,8,4,16
,Fri,9th,Midhurst '82,Haslemere B,6,12,3,7
,Sun,11th,Treloar,Eagles,8,1,17,2
,Mon,12th,Liss,Haslemere B,7,2,15,5
,Sun,18th,Haslemere A,Treloar,6,3,13,8
,Mon,19th,Four Marks,Liss,2,7,4,15
,Tue,20th,Eagles,Midhurst '82,2,6,4,12
,Sun,25th,Haslemere B,Midhurst '82,6,3,12,7
,Mon,26th,Liss,Eagles,5,4,13,8
February,Sun,1st,Treloar,Four Marks,9,0,18,0
,Tue,3rd,Eagles,Four Marks,5,4,11,8
,Sun,8th,Haslemere A,Eagles,8,1,16,2
,Mon,9th,Liss,Midhurst '82,2,7,5,14
,Sun,15th,Haslemere B,Treloar,3,6,6,14
,Sun,22nd,Haslemere B,Liss,5,4,10,9
,Sun,22nd,Treloar,Midhurst '82,6,3,13,9
March,Mon,1st,Liss,Four Marks,5,4,10,9
,Tue,2nd,Eagles,Haslemere A,0,9,0,18
,Tue,16th,Eagles,Treloar,2,6,4,12
,Fri,19th,Midhurst '82,Four Marks,9,0,18,0
,Sun,21st,Treloar,Haslemere A,3,6,8,13
,Thu,25th,Four Marks,Haslemere A,2,7,5,15
,Sun,28th,Haslemere A,Midhurst '82,8,1,16,5
,Tue,30th,Eagles,Liss,3,6,7,12
April,Fri,2nd,Midhurst '82,Treloar,5,4,10,9
,Thu,22nd,Eagles,Haslemere B,4,5,9,10
