MONTH,DAY,DAY OF MONTH,HOME,AWAY,HOME RUBBERS,AWAY RUBBERS,HOME GAMES,AWAY GAMES
October,Fri,3rd,Petersfield A,Petersfield B,6,0,12,1
,Wed,8th,Four Marks C,Liss,3,3,7,7
,Mon,13th,Petersfield B,Petersfield A,0,6,2,12
,Mon,27th,Liss,Petersfield B,6,0,12,1
November,Mon,3rd,Liss,Eagles B,3,3,7,8
,Thu,13th,Eagles B,Petersfield A,3,3,7,7
,Fri,14th,Petersfield B,Four Marks C,1,5,5,10
,Thu,20th,Eagles B,Four Marks C,6,0,12,1
,Wed,26th,Four Marks C,Petersfield A,1,5,2,11
January,Thu,15th,Four Marks C,Eagles B,1,5,3,10
,Thu,22nd,Eagles B,Petersfield B,4,2,8,4
,Fri,26th,Petersfield A,Four Marks C,6,0,12,0
February,Fri,6th,Petersfield B,Liss,0,6,5,12
,Mon,16th,Liss,Four Marks C,4,2,8,5
,Mon,23rd,Four Marks C,Petersfield B,4,2,10,4
March,Mon,1st,Petersfield A,Eagles B,6,0,12,1
,Fri,5th,Petersfield B,Eagles B,6,0,12,0
,Mon,15th,Liss,Petersfield A,1,5,3,10
,Fri,19th,Petersfield A,Liss,5,1,10,5
,Thu,25th,Eagles B,Liss,4,2,10,5
