MONTH,DAY,DAY OF MONTH,HOME,AWAY,HOME RUBBERS,AWAY RUBBERS,HOME GAMES,AWAY GAMES
September,Sun,28th,Treloar A,Treloar B,6,0,12,1
October,Sun,12th,Treloar A,Eagles A,3,3,6,6
November,Sun,2nd,Treloar B,Alresford,3,3,8,9
,Mon,3rd,Four Marks A,Eagles A,5,1,11,4
,Sun,9th,Treloar B,Eagles A,3,3,6,7
,Mon,10th,Four Marks A,Four Marks B,5,1,11,5
,Wed,12th,Alresford,Four Marks B,3,3,7,7
,Thu,13th,Four Marks A,Treloar A,1,5,2,11
,Thu,27th,Eagles A,Four Marks B,4,2,9,5
December,Wed,3rd,Alresford,Eagles A,1,5,2,10
,Thu,4th,Four Marks A,Treloar B,5,1,11,3
,Sun,7th,Treloar A,Alresford,6,0,12,1
,Thu,11th,Four Marks A,Alresford,2,4,5,8
,Mon,15th,Four Marks B,Treloar B,3,3,6,8
,Thu,18th,Four Marks B,Four Marks A,3,3,7,7
,Sun,21st,Treloar B,Treloar A,0,0,6,12
January,Thu,15th,Eagles A,Alresford,2,4,4,8
,Sun,25th,Treloar B,Four Marks A,1,5,3,11
,Thu,29th,Eagles A,Treloar A,0,6,2,12
February,Wed,4th,Alresford,Treloar A,1,5,2,11
,Sun,8th,Treloar B,Four Marks B,3,3,7,8
,Thu,19th,Four Marks B,Treloar A,1,5,3,10
,Thu,26th,Eagles A,Four Marks A,1,5,4,10
March,Thu,11th,Eagles A,Treloar B,4,2,10,5
,Thu,11th,Four Marks B,Alresford,3,3,6,7
,Sun,7th,Treloar A,Four Marks B,4,2,8,5
,Sun,14th,Treloar A,Four Marks A,3,3,6,7
,Mon,15th,Four Marks B,Eagles A,1,5,4,10
,Wed,17th,Alresford,Treloar B,5,1,10,6
,Wed,31st,Alresford,Four Marks A,3,3,8,7
