MONTH,DAY,DAY OF MONTH,HOME,AWAY,HOME GAMES,AWAY GAMES
October,Fri,10th,Midhurst '82,Four Marks,6,9
,Tue,14th,Eagles,Midhurst '82,10,9
,Mon,20th,Liss,Eagles,8,6
,Thu,23rd,Four Marks,Treloar,12,0
November,Mon,10th,Liss,Midhurst '82,12,1
,Tue,11th,Eagles,Four Marks,12,3
,Sun,16th,Treloar,Liss,9,6
December,Tue,9th,Eagles,Treloar,6,7
,Wed,10th,Four Marks,Liss,5,10
January,Sun,11th,Treloar,Eagles,8,7
,Fri,16th,Midhurst '82,Treloar,3,11
February,Sun,1st,Treloar,Four Marks,8,6
,Fri,6th,Midhurst '82,Eagles,12,0
,Thu,12th,Four Marks,Eagles,7,8
,Mon,23rd,Liss,Treloar,6,10
March,Mon,1st,Liss,Four Marks,10,5
,Fri,5th,Midhurst '82,Liss,0,12
,Mon,22nd,Four Marks,Midhurst '82,9,6
April,Tue,1st,Eagles,Liss,1,12
,Sun,4th,Treloar,Midhurst '82,12,0
