MONTH,DAY,DAY OF MONTH,HOME,AWAY,HOME RUBBERS,AWAY RUBBERS,HOME GAMES,AWAY GAMES
September,Thu,2nd,The Edge A,The Edge B,6,0,12,1
October,Wed,13th,Alresford,Eagles B,2,4,4,9
November,Tue,2nd,The Grange B,Eagles B,1,5,3,10
,Wed,10th,Alresford,The Grange B,2,4,4,9
,Thu,18th,The Edge B,Alresford,2,4,6,9
,Mon,22nd,The Edge B,The Edge A,0,6,1,12
,Tue,30th,Eagles B,The Edge A,0,6,1,12
December,Thu,9th,The Edge B,Eagles B,1,5,4,10
,Tue,14th,The Grange B,The Edge A,0,6,0,12
January,Tue,11th,The Grange B,Alresford,4,2,8,5
,Tue,25th,The Grange B,The Edge B,2,4,6,8
February,Thu,3rd,The Edge A,Alresford,6,0,12,1
,Thu,10th,The Edge B,The Grange B,2,4,6,9
,Tue,22nd,Eagles B,The Edge B,4,2,9,5
March,Tue,1st,Eagles B,Alresford,5,1,11,2
,Wed,9th,Alresford,The Edge B,3,3,6,8
April,Thu,7th,The Edge A,The Grange B,6,0,12,1
,Thu,14th,The Edge A,Eagles B,4,2,9,5
,Wed,20th,Alresford,The Edge A,0,6,1,12
,Tue,26th,Eagles B,The Grange B,4,2,8,4
