MONTH,DAY,DAY OF MONTH,HOME,AWAY,HOME GAMES,AWAY GAMES
September,Wed,22nd,Four Marks,Liss,12,1
October,Tue,5th,Eagles,The Grange,11,3
,Tue,12th,The Grange,Liss,8,5
,Sun,17th,Liss,Midhurst '82,9,7
,Tue,19th,Eagles,Four Marks,5,10
,Tue,26th,The Grange,Midhurst '82,7,8
November,Fri,12th,Midhurst '82,Eagles,8,7
,Sun,14th,Liss,The Grange,7,7
,Sun,21st,Liss,Eagles,10,5
,Tue,30th,The Grange,Four Marks,5,9
January,Tue,11th,Eagles,Midhurst '82,9,5
,Mon,17th,Four Marks,Eagles,12,0
,Sun,23rd,Liss,Four Marks,2,10
,Fri,28th,Midhurst '82,Liss,12,1
February,Fri,25th,Midhurst '82,The Grange,10,4
March,Wed,2nd,Four Marks,The Grange,11,2
,Tue,15th,The Grange,Eagles,9,5
,Fri,18th,Midhurst '82,Four Marks,10,5
April,Tue,5th,Eagles,Liss,9,4
,Wed,6th,Four Marks,Midhurst '82,12,0
