MONTH,DAY,DAY OF MONTH,HOME,AWAY,HOME RUBBERS,AWAY RUBBERS,HOME GAMES,AWAY GAMES
October,Wed,27th,Four Marks B,The Grange A,3,3,7,7
November,Mon,1st,Four Marks A,Eagles A,6,0,12,1
,Wed,10th,Four Marks A,Four Marks B,4,2,8,5
December,Tue,7th,Eagles A,Four Marks B,4,2,10,4
,Tue,14th,Eagles A,The Grange A,4,2,10,4
January,Tue,4th,The Grange A,Four Marks A,3,3,6,7
,Wed,19th,Four Marks B,Four Marks A,2,4,7,9
February,Mon,28th,Four Marks B,Eagles A,5,1,10,4
March,Tue,8th,Eagles A,Four Marks A,2,4,5,8
,Tue,22nd,The Grange A,Eagles A,3,3,7,8
April,Tue,12th,The Grange A,Four Marks B,4,2,10,4
,Wed,27th,Four Marks A,The Grange A,6,0,12,1
