MONTH,DAY,DAY OF MONTH,HOME,AWAY,HOME GAMES,AWAY GAMES
October,8:00pm Mon,8th,Midhurst ‘82,Four Marks A,6,6
,7:00pm Wed,17th,Eagles,Four Marks A,7,6
,7:00pm Fri,26th,Haslemere,Four Marks B,12,2
November,7:00pm Wed,14th,Four Marks A,Midhurst ‘82,12,1
,7:00pm Mon,19th,Four Marks B,Four Marks A,0,0
,7:00pm Wed,28th,Eagles,Midhurst ‘82,12,0
December,7:00pm Wed,12th,Eagles,Haslemere,7,7
,7:00pm Wed,12th,Four Marks A,Four Marks B,12,0
January,7:00pm Fri,4th,Haslemere,Four Marks A,8,4
,7:00pm Thu,10th,Haslemere,Eagles,10,3
,8:00pm Mon,14th,Midhurst ‘82,Haslemere,6,6
,7:00pm Mon,21st,Four Marks B,Haslemere,3,11
,7:00pm Wed,30th,Four Marks A,Eagles,7,6
February,7:00pm Mon,4th,Four Marks A,Haslemere,5,6
,8:00pm Mon,4th,Midhurst ‘82,Eagles,8,4
,8:00pm Mon,11th,Midhurst ‘82,Four Marks B,7,7
,7:00pm Wed,20th,Eagles,Four Marks B,12,1
,7:00pm Wed,27th,Four Marks B,Midhurst ‘82,1,12
March,7:00pm Mon,4th,Four Marks B,Eagles,1,12
,7:00pm Fri,8th,Midhurst ‘82,Haslemere,6,6
