MONTH,DAY,DAY OF MONTH,HOME,AWAY,HOME GAMES,AWAY GAMES
October,7:00pm Wed,10th,Four Marks,Eagles,12,0
December,8:00pm Tue,4th,The Grange,Four Marks,9,7
January,7:00pm Wed,9th,Eagles,The Grange,1,12
February,7:00pm Wed,6th,Eagles,Four Marks,2,11
,8:00pm Tue,12th,The Grange,Eagles,12,0
April,7:00pm Mon,1st,Four Marks,The Grange,9,5
