MONTH,DAY,DAY OF MONTH,HOME,AWAY,HOME RUBBERS,AWAY RUBBERS,HOME GAMES,AWAY GAMES
September,Tue,18th,The Grange B,The Edge C,6,0,12,0
October,Wed,3rd,Four Marks B,Alresford,5,1,10,2
,Fri,19th,Midhurst '82,The Edge C,6,0,12,2
,Mon,29th,Four Marks B,The Edge C,4,2,9,6
November,Wed,7th,Alresford,The Edge C,2,4,6,8
,Tue,13th,The Grange B,Four Marks B,5,1,10,5
,Mon,19th,Four Marks B,Midhurst '82,2,4,4,8
,Fri,30th,Midhurst '82,Alresford,5,0,12,1
December,Thu,6th,The Edge C,The Grange B,1,5,4,11
,Tue,11th,The Grange B,Alresford,6,0,12,1
January,Wed,9th,Alresford,Four Marks B,4,2,9,6
,Mon,28th,Four Marks B,The Grange B,3,3,7,6
February,Wed,13th,Alresford,Midhurst '82,0,6,0,12
March,Tue,12th,The Grange B,Midhurst '82,0,6,0,12
,Thu,21st,The Edge C,Midhurst '82,0,6,0,12
April,Fri,5th,Midhurst '82,Four Marks B,6,0,12,0
,Wed,17th,Alresford,The Grange B,2,4,4,9
,Thu,25th,The Edge C,Alresford,5,1,11,2
Walkover, , ,Midhurst '82,The Grange B,6,0,12,0
, , ,The Edge C,Four Marks B,6,0,12,0
