MONTH,DAY,DAY OF MONTH,HOME,AWAY,HOME RUBBERS,AWAY RUBBERS,HOME GAMES,AWAY GAMES
September,Mon,24th,Four Marks A,The Edge B,6,0,12,1
October,Thu,4th,The Edge B,The Edge A,0,0,0,0
,Tue,16th,Eagles,The Edge A,3,3,7,8
,Mon,22nd,Four Marks A,The Edge A,6,0,12,2
,Tue,23rd,Eagles,The Edge B,6,0,12,0
November,Mon,5th,Four Marks A,Eagles,5,1,10,3
,Thu,22nd,The Edge B,The Grange A,0,6,0,12
,Mon,26th,The Edge A,The Edge B,6,0,12,0
,Thu,29th,The Edge A,Eagles,2,3,8,7
December,Tue,4th,The Grange A,Four Marks A,4,2,10,6
,Tue,11th,The Grange A,The Edge A,2,4,6,9
January,Thu,24th,The Edge A,Four Marks A,3,3,6,8
March,Tue,12th,Eagles,Four Marks A,3,3,7,6
,Tue,26th,The Grange A,The Edge B,6,0,12,2
April,Tue,9th,The Grange A,Eagles,5,1,11,3
,Thu,11th,The Edge B,Four Marks A,0,6,0,12
,Tue,16th,Eagles,The Grange A,3,2,9,4
,Thu,18th,The Edge A,The Grange A,2,4,5,9
Unplayed, , ,The Edge B,Eagles,0,0,0,0
Walkover, , ,Four Marks A,The Grange A,6,0,12,0
