MONTH,DAY,DAY OF MONTH,HOME,AWAY,HOME GAMES,AWAY GAMES
October,Tue,2nd,Eagles,Four Marks,1,12
,Wed,17th,Four Marks,The Grange,8,8
,Tue,30th,Eagles,The Grange,9,8
November,Sun,11th,Liss,The Grange,6,8
,Tue,13th,Eagles,Liss,11,1
January,Tue,15th,The Grange,Liss,12,2
,Wed,16th,Four Marks,Eagles,12,2
February,Sun,3rd,Liss,Eagles,7,8
,Sun,10th,Liss,Four Marks,0,12
,Mon,18th,Four Marks,Liss,12,0
March,Tue,19th,The Grange,Eagles,7,8
April,Tue,30th,The Grange,Four Marks,6,6
