MONTH,DAY,DAY OF MONTH,HOME,AWAY,HOME GAMES,AWAY GAMES
September,Thu,13th,The Edge A,The Edge B,12,1
,Mon,17th,Four Marks,The Edge A,1,12
,Thu,20th,The Edge B,Haslemere,0,12
,Wed,26th,Four Marks,Eagles,12,1
October,Fri,5th,Midhurst '82,The Edge A,9,7
,Tue,9th,Eagles,The Edge A,6,10
,Thu,11th,The Edge B,The Edge A,1,12
,Fri,12th,Haslemere,The Edge A,6,7
,Mon,15th,Four Marks,The Edge B,12,0
,Fri,26th,Midhurst '82,Haslemere,5,8
November,Fri,2nd,Midhurst '82,Eagles,3,10
,Fri,16th,Haslemere,Eagles,12,3
,Fri,23rd,Midhurst '82,The Edge B,12,0
January,Thu,10th,The Edge A,Midhurst '82,7,7
,Tue,15th,Eagles,Four Marks,3,12
,Thu,31st,The Edge B,Midhurst '82,0,12
February,Fri,8th,Haslemere,Four Marks,12,0
,Tue,12th,Eagles,The Edge B,11,2
,Tue,19th,Eagles,Midhurst '82,2,12
,Thu,21st,The Edge A,Four Marks,9,8
,Mon,25th,Four Marks,Midhurst '82,10,4
March,Tue,5th,Eagles,Haslemere,0,12
,Fri,8th,Midhurst '82,Four Marks,1,12
,Fri,15th,Haslemere,The Edge B,12,0
,Wed,20th,Four Marks,Haslemere,8,10
April,Thu,4th,The Edge A,Haslemere,12,1
,Thu,18th,The Edge B,Four Marks,1,12
,Fri,19th,Haslemere,Midhurst '82,6,7
,Thu,25th,The Edge A,Eagles,11,3
Unplayed, , ,The Edge B,Eagles,0,0
