MONTH,DAY,DAY OF MONTH,HOME,AWAY,HOME RUBBERS,AWAY RUBBERS,HOME GAMES,AWAY GAMES
September,Thu,12th,The Edge B,The Edge C,3,3,6,8
October,Mon,7th,Four Marks B,Alresford,6,0,12,1
,Mon,14th,The Edge C,The Edge B,0,6,1,12
,Wed,23rd,Alresford,The Edge C,3,3,6,7
November,Wed,13th,Alresford,The Edge B,0,6,1,12
,Mon,25th,Four Marks B,The Edge B,3,3,8,7
December,Thu,5th,The Edge C,Four Marks B,2,4,4,9
January,Wed,15th,Alresford,Four Marks B,0,6,1,12
,Thu,30th,The Edge B,Four Marks B,5,1,10,3
February,Thu,27th,The Edge C,Alresford,5,1,10,3
March,Mon,24th,Four Marks B,The Edge C,5,1,11,2
April,Thu,17th,The Edge B,Alresford,6,0,12,0
