MONTH,DAY,DAY OF MONTH,HOME,AWAY,HOME GAMES,AWAY GAMES
October,Thu,10th,The Edge,Four Marks,9,4
,Tue,29th,The Grange,Eagles,8,7
November,Mon,18th,Four Marks,Eagles,11,2
December,Thu,5th,The Edge,The Grange,10,4
,Tue,10th,Eagles,The Edge,8,6
February,Tue,11th,Eagles,Four Marks,9,5
March,Thu,6th,The Edge,Eagles,0,12
,Tue,11th,The Grange,The Edge,6,8
,Tue,18th,Eagles,The Grange,7,8
April,Mon,7th,Four Marks,The Edge,10,3
,Tue,15th,The Grange,Four Marks,4,9
,Wed,30th,Four Marks,The Grange,9,4
