MONTH,DAY,DAY OF MONTH,HOME,AWAY,HOME GAMES,AWAY GAMES
September,Thu,5th,The Edge A,The Edge B,12,1
,Fri,27th,Midhurst '82,The Edge A,8,6
October,Fri,4th,Midhurst '82,Eagles,11,3
,Fri,18th,Midhurst '82,Four Marks,8,6
,Fri,25th,Midhurst '82,The Edge B,11,3
,Tue,29th,Eagles,Haslemere,8,5
,Thu,31st,The Edge B,The Edge A,2,11
November,Fri,8th,Haslemere,Four Marks,12,4
,Tue,12th,Eagles,The Edge A,3,11
,Fri,15th,Haslemere,The Edge B,8,4
,Thu,21st,The Edge A,Haslemere,7,7
December,Tue,3rd,Eagles,Four Marks,4,9
,Mon,16th,Four Marks,The Edge B,10,3
January,Mon,6th,Four Marks,Haslemere,10,3
,Tue,7th,Eagles,The Edge B,11,3
,Thu,9th,The Edge A,Midhurst '82,12,0
February,Tue,4th,Eagles,Midhurst '82,12,0
,Wed,12th,Four Marks,The Edge A,6,8
,Thu,20th,The Edge A,Four Marks,11,2
,Thu,20th,The Edge B,Eagles,0,12
,Wed,26th,Four Marks,Eagles,7,7
,Fri,28th,Haslemere,The Edge A,4,11
March,Thu,6th,The Edge B,Midhurst '82,10,7
,Fri,14th,Haslemere,Midhurst '82,12,0
,Thu,20th,The Edge A,Eagles,9,5
,Thu,20th,The Edge B,Haslemere,3,10
,Fri,28th,Haslemere,Eagles,9,6
April,Fri,11th,Midhurst '82,Haslemere,10,3
,Wed,23rd,Four Marks,Midhurst '82,7,7
,Thu,24th,The Edge B,Four Marks,8,8
