MONTH,TIME,DAY,HOME,AWAY,HOME GAMES,AWAY GAMES,HOME RUBBERS,AWAY RUBBERS
October,8:00pm Wed,26,Eagles,Haslemere,9,5,4,2
,7:00pm Wed,26,Four Marks,Midhurst,7,7,3,3
November,8.00pm Tues,8,Midhurst,Eagles,12,1,6,0
January,8:00pm Wed,18,Eagles,Midhurst,,,,
,7:00pm Fri,27,Haslemere,Eagles,,,,
February,7:00pm Wed,1,Four Marks,Haslemere,5,10,1,5
,8:00pm Tue,7,Midhurst,Four Marks,6,7,3,3
,7.00 pm Wed,8,Four Marks,Eagles,8,6,4,2
March,8:00pm Wed,1,Eagles,Four Marks,6,6,3,3
,7:00pm Fri,14,Midhurst,Haslemere,2,11,1,5
,8.00pm Tues,17,Haslemere,Midhurst,,,,
,7.00pm Fri,24,Haslemere,Four Marks,8,5,4,2
