MONTH,DAY,DAY OF MONTH,HOME,AWAY,HOME GAMES,AWAY GAMES
September,Wed,2nd,Four Marks,The Edge,12,2
,Mon,21st,Four Marks,Midhurst '82,12,1
,Tue,22nd,The Grange,The Edge,6,7
,Tue,29th,The Grange,Four Marks,1,12
October,Fri,2nd,Haslemere A,Haslemere B,12,0
,Mon,5th,Four Marks,Eagles,10,3
,Fri,9th,Haslemere B,The Edge,9,4
,Fri,9th,Midhurst '82,Haslemere A,5,10
,Mon,19th,Four Marks,Haslemere A,5,11
,Tue,20th,Eagles,Haslemere B,1,12
,Fri,30th,Midhurst '82,The Grange,12,1
November,Tue,10th,The Grange,Haslemere B,1,12
,Fri,20th,Haslemere B,Four Marks,3,10
,Fri,20th,Midhurst '82,The Edge,11,3
,Tue,24th,The Grange,Midhurst '82,3,11
,Fri,27th,Haslemere B,Haslemere A,5,8
December,Thu,3rd,The Edge,Eagles,4,11
,Tue,8th,Eagles,Four Marks,5,10
January,Mon,4th,Four Marks,The Grange,12,1
,Fri,22nd,Midhurst '82,Haslemere B,12,0
,Tue,26th,Eagles,Haslemere A,3,10
,Fri,29th,Haslemere B,Midhurst '82,4,8
February,Fri,5th,Haslemere A,Four Marks,12,2
,Tue,9th,Eagles,Midhurst '82,4,12
,Wed,10th,Four Marks,Haslemere B,10,5
,Tue,16th,The Grange,Haslemere A,1,12
,Thur,18th,The Edge,Four Marks,5,8
,Tue,23rd,Eagles,The Grange,9,4
,Thu,25th,The Edge,Haslemere A,0,12
,Fri,26th,Haslemere B,The Grange,8,8
March,Thu,11th,The Edge,Haslemere B,5,9
,Tue,16th,Eagles,The Edge,11,3
,Thu,25th,The Edge,Midhurst '82,12,1
April,Thu,8th,Haslemere A,The Edge,11,2
,Fri,9th,Haslemere A,Midhurst '82,8,8
,Fri,9th,Haslemere B,Eagles,11,4
,Tue,13th,The Grange,Eagles,6,7
,Fri,16th,Haslemere A,The Grange,12,0
,Tue,20th,Midhurst '82,Eagles,8,4
,Thu,22nd,The Edge,The Grange,6,9
,Fri,23rd,Midhurst '82,Four Marks,1,12
Walkover, , ,Haslemere A,Eagles,12,0
