MONTH,DAY,DAY OF MONTH,HOME,AWAY,HOME RUBBERS,AWAY RUBBERS,HOME GAMES,AWAY GAMES
September,Tue,15th,The Grange B,The Edge,0,6,0,12
,Wed,16th,Four Marks A,Four Marks B,4,2,9,5
October,Thu,1st,The Edge,Eagles,0,6,2,12
,Tue,6th,The Grange B,Alresford,1,3,7,7
,Tue,13th,The Grange B,Four Marks B,0,5,4,10
,Wed,14th,Alresford,Eagles,0,6,3,12
,Tue,20th,The Grange B,The Grange A,0,6,0,12
,Wed,21st,Alresford,The Edge,3,3,6,7
,Mon,26th,The Grange A,The Grange B,6,0,12,0
,Tue,27th,Eagles,The Grange B,6,0,12,1
,Tue,27th,The Grange A,Four Marks A,3,3,7,6
November,Mon,2nd,Four Marks A,Eagles,3,3,6,6
,Thu,5th,The Edge,Four Marks A,1,5,3,11
,Wed,11th,Four Marks A,Alresford,6,0,12,0
,Tue,17th,The Grange A,Eagles,2,4,8,6
,Wed,18th,Four Marks B,The Grange B,5,1,11,2
,Tue,24th,Eagles,Four Marks B,3,3,7,7
,Wed,25th,Four Marks A,The Edge,5,1,11,4
,Wed,25th,Alresford,The Grange A,1,5,2,10
December,Wed,2nd,Alresford,Four Marks B,3,3,7,7
,Thu,10th,The Edge,Four Marks B,2,3,6,7
,Tue,15th,The Grange A,The Edge,4,2,8,4
January,Tue,5th,Four Marks B,Four Marks A,3,3,7,7
,Thu,21st,The Grange A,The Edge,6,0,12,1
,Tue,26th,The Grange A,Four Marks B,2,4,9,6
February,Tue,2nd,Eagles,Four Marks A,2,4,5,9
,Wed,10th,Alresford,The Grange B,5,1,11,4
,Wed,24th,Alresford,Four Marks A,1,5,2,10
March,Mon,1st,Four Marks B,Eagles,6,0,12,3
,Tue,2nd,The Grange A,Alresford,6,0,12,0
,Thu,4th,The Grange B,Eagles,0,4,0,8
,Wed,17th,Four Marks A,The Grange B,6,0,12,2
,Thu,18th,The Edge,Alresford,4,2,9,7
,Tue,23rd,Eagles,Alresford,6,0,12,0
,Tue,30th,Eagles,The Edge,6,0,12,1
,Tue,30th,The Grange B,Four Marks A,1,5,4,11
April,Tue,6th,Eagles,The Grange A,2,4,6,8
,Mon,19th,Four Marks B,The Edge,6,0,12,1
,Wed,21st,Four Marks B,The Grange A,4,2,10,5
,Wed,28th,Four Marks A,The Grange A,5,1,10,3
Walkover, , ,The Edge,The Grange B,6,0,12,0
Unplayed, , ,Four Marks B,Alresford,3,3,0,0
