MONTH,DAY,DAY OF MONTH,HOME,AWAY,HOME GAMES,AWAY GAMES
October,Tue,9th,Eagles,Four Marks,4,11
,Sun,14th,Treloar,Midhurst '82,6,6
,Sun,28th,Treloar,Four Marks,6,7
November,Tue,6th,Eagles,Treloar,4,10
,Sun,11th,Liss,Four Marks,10,4
,Fri,23rd,Midhurst '82,Four Marks,2,12
,Sun,25th,Treloar,Liss,8,4
December,Sun,2nd,Liss,Eagles,11,1
January,Wed,9th,Four Marks,Eagles,9,8
,Mon,21st,Four Marks,Midhurst '82,10,5
February,Fri,8th,Midhurst '82,Liss,0,12
,Wed,20th,Four Marks,Liss,7,9
March,Tue,4th,Eagles,Liss,2,12
,Thu,27th,Liss,Midhurst '82,12,2
Walkover, , ,Four Marks,Treloar,12,0
, , ,Treloar,Eagles,0,12
, , ,Liss,Treloar,12,0
, , ,Midhurst '82,Treloar,12,0
, , ,Midhurst '82,Eagles,0,12
, , ,Eagles,Midhurst '82,12,0
