MONTH,DAY,DAY OF MONTH,HOME,AWAY,HOME RUBBERS,AWAY RUBBERS,HOME GAMES,AWAY GAMES
October,Wed,3rd,Four Marks,Treloar,3,3,7,7
,Sun,21st,Liss,Eagles,1,4,6,9
,Wed,24th,Four Marks,Liss,3,3,6,6
,Tue,30th,Eagles,Alresford,5,1,10,2
November,Sun,4th,Treloar,Liss,4,2,9,5
,Wed,14th,Four Marks,Alresford,4,2,9,5
,Tue,20th,Eagles,Four Marks,4,2,9,5
,Wed,28th,Alresford,Liss,1,5,3,10
December,Sun,9th,Treloar,Eagles,2,4,5,10
January,Wed,16th,Alresford,Eagles,1,5,3,11
,Wed,30th,Alresford,Four Marks,3,3,7,6
February,Wed,6th,Four Marks,Eagles,4,1,8,2
,Sun,24th,Liss,Treloar,3,3,7,7
,Wed,27th,Alresford,Treloar,1,5,2,10
March,Sun,2nd,Liss,Four Marks,2,4,6,10
,Tue,11th,Eagles,Liss,0,6,1,12
,Sun,16th,Liss,Alresford,3,3,6,7
Walkover, , ,Eagles,Treloar,0,6,0,12,
, , ,Treloar,Alresford,0,6,0,12
, , ,Treloar,Four Marks,0,6,0,12
