MONTH,DAY,DAY OF MONTH,HOME,AWAY,HOME GAMES,AWAY GAMES
October,Sun,14th,Treloar,Midhurst '82,5,9
,Tue,16th,Eagles,Haslemere B,10,5
,Fri,19th,Midhurst '82,Haslemere A,5,9
November,Fri,2nd,Midhurst '82,Eagles,12,0
,Fri,9th,Midhurst '82,Treloar,9,5
,Sun,11th,Haslemere A,Haslemere B,11,3
,Sun,11th,Haslemere B,Haslemere A,0,12
,Sun,18th,Treloar,Haslemere B,8,5
,Tue,27th,Eagles,Treloar,3,12
,Fri,30th,Midhurst '82,Haslemere B,9,4
December,Sun,2nd,Treloar,Haslemere A,2,12
January,Sun,20th,Haslemere A,Treloar,9,4
,Tue,22nd,Eagles,Haslemere A,0,12
February,Sun,3rd,Treloar,Eagles,12,1
,Sun,17th,Haslemere A,Midhurst '82,12,0
,Sun,24th,Haslemere B,Eagles,6,8
March,Sun,2nd,Haslemere B,Treloar,0,12
,Sun,16th,Haslemere B,Midhurst '82,10,6
Walkover, , ,Haslemere A,Eagles,12,0
, , ,Eagles,Midhurst '82,0,12
