MONTH,DAY,DAY OF MONTH,HOME,AWAY,HOME RUBBERS,AWAY RUBBERS,HOME GAMES,AWAY GAMES
October,Thu,4th,Four Marks,Treloar,7,2,14,5
,Mon,8th,Liss,Four Marks,4,5,9,11
,Tue,23rd,Eagles,Treloar,4,5,9,11
,Fri,26th,Midhurst '82,Liss,2,7,5,15
November,Tue,6th,Eagles,Four Marks,4,5,8,11
,Sun,25th,Treloar,Liss,4,5,9,12
December,Tue,4th,Eagles,Liss,5,4,10,9
,Thu,6th,Four Marks,Midhurst '82,8,1,17,3
January,Thu,17th,Four Marks,Eagles,7,2,14,5
,Sun,20th,Treloar,Eagles,6,3,12,8
,Mon,21st,Four Marks,Liss,5,4,12,10
February,Sun,3rd,Treloar,Midhurst '82,6,2,12,5
,Fri,8th,Midhurst '82,Treloar,8,1,16,4
,Mon,11th,Liss,Midhurst '82,8,1,17,3
March,Mon,4th,Liss,Eagles,7,2,14,4
,Mon,11th,Liss,Treloar,5,4,11,9
,Fri,15th,Midhurst '82,Four Marks,2,7,7,15
,Tue,19th,Midhurst '82,Eagles,9,0,18,0
April,Tue,9th,Eagles,Midhurst '82,0,9,0,18
,Sun,14th,Treloar,Four Marks,4,5,9,11
