MONTH,DAY,DAY OF MONTH,HOME,AWAY,HOME RUBBERS,AWAY RUBBERS,HOME GAMES,AWAY GAMES
September,Sun,23rd,Treloar A,Eagles A,6,0,12,2
October,Mon,1st,Bordon,Four Marks A,0,6,0,12
,Mon,15th,Four Marks A,Treloar A,2,4,5,9
,Thu,18th,Four Marks B,Eagles A,0,6,1,12
,Mon,29th,Bordon,Treloar A,0,6,0,12
,Mon,29th,Four Marks A,Eagles A,1,5,2,11
November,Thu,1st,Four Marks B,Bordon,6,0,12,1
,Thu,22nd,Eagles A,Bordon,6,0,12,0
,Thu,22nd,Four Marks A,Four Marks B,3,3,7,8
December,Sun,9th,Treloar A,Four Marks B,6,0,12,1
,Thu,20th,Four Marks B,Four Marks A,2,4,5,8
January,Sun,6th,Treloar A,Four Marks A,6,0,12,0
,Thu,10th,Eagles A,Four Marks A,4,2,9,4
,Thu,24th,Eagles A,Four Marks B,4,2,10,5
February,Thu,7th,Four Marks A,Bordon,6,0,12,0
,Mon,11th,Bordon,Eagles A,0,6,1,12
,Mon,18th,Four Marks B,Treloar A,0,6,0,12
March,Mon,4th,Bordon,Four Marks B,3,3,6,8
,Thu,7th,Eagles A,Treloar A,2,4,5,9
April,Sun,7th,Treloar A,Bordon,6,0,12,0

