MONTH,DAY,DAY OF MONTH,HOME,AWAY,HOME POINTS,AWAY POINTS
September,Thu,27th,Eagles,Four Marks A,155,184
October,Fri,5th,Petersfield,Four Marks B,121,182
,Fri,19th,Petersfield,Eagles,169,159
November,Fri,9th,Petersfield,Liss,125,126
,Thu,15th,Eagles,Liss,158,166
,Thu,22nd,Four Marks A,Petersfield,189,53
,Thu,29th,Four Marks B,Four Marks A,146,177
December,Mon,3rd,Four Marks B,Eagles,189,88
,Mon,10th,Liss,Four Marks A,128,167
,Wed,12th,Four Marks A,Four Marks B,135,165
,Mon,17th,Four Marks B,Liss,142,131
January,Mon,14th,Liss,Petersfield,189,105
,Thu,31st,Four Marks A,Liss,185,126
February,Fri,1st,Petersfield,Four Marks A,117,189
,Thu,14th,Four Marks A,Eagles,186,111
,Thu,21st,Eagles,Four Marks B,96,189
March,Mon,18th,Four Marks B,Petersfield,188,81
,Mon,25th,Liss,Eagles,189,66
,Thu,28th,Eagles,Petersfield,137,159
April,Mon,8th,Liss,Four Marks B,139,142
