MONTH,DAY,DAY OF MONTH,HOME,AWAY,HOME RUBBERS,AWAY RUBBERS,HOME GAMES,AWAY GAMES
September,Tue,25th,Eagles,Haslemere A,2,7,4,15
,Sun,30th,Treloar,Haslemere B,9,0,18,2
October,Sun,7th,Haslemere B,Four Marks,4,5,10,11
,Tue,9th,Eagles,Treloar,4,5,10,10
,Fri,12th,Midhurst '82,Liss,5,4,10,9
,Sun,21st,Treloar,Liss,4,5,8,12
,Mon,22nd,Four Marks,Haslemere A,1,8,4,16
November,Sun,4th,Treloar,Midhurst '82,7,2,14,8
,Mon,5th,Liss,Haslemere B,8,1,16,5
,Thu,8th,Four Marks,Eagles,4,5,9,11
,Mon,12th,Four Marks,Midhurst '82,7,2,14,4
,Fri,16th,Midhurst '82,Haslemere A,7,2,14,6
,Mon,19th,Liss,Four Marks,7,2,14,5
,Tue,20th,Eagles,Haslemere B,2,7,5,15
,Mon,26th,Four Marks,Treloar,4,5,8,11
December,Sun,2nd,Treloar,Haslemere A,4,5,10,11
,Sun,9th,Haslemere B,Haslemere A,1,8,3,16
,Sun,16th,Haslemere A,Haslemere B,7,2,14,5
January,Mon,7th,Four Marks,Haslemere B,3,6,8,13
,Sun,13th,Haslemere B,Treloar,3,6,7,15
,Fri,18th,Midhurst '82,Haslemere B,8,1,16,3
,Sun,20th,Treloar,Eagles,6,2,12,5
,Mon,21st,Liss,Haslemere A,4,5,9,12
,Tue,29th,Eagles,Four Marks,4,5,9,10
February,Sun,3rd,Haslemere A,Four Marks,9,0,18,2
,Mon,4th,Liss,Treloar,5,4,12,9
,Mon,11th,Liss,Midhurst '82,4,5,8,10
,Sun,17th,Haslemere A,Liss,8,1,16,3
,Fri,22nd,Midhurst '82,Treloar,4,5,9,10
,Sun,24th,Haslemere A,Midhurst '82,2,7,6,14
,Mon,25th,Four Marks,Liss,9,0,18,0
March,Sun,3rd,Haslemere A,Eagles,7,2,15,6
,Fri,8th,Midhurst '82,Four Marks,8,1,16,2
,Sun,17th,Haslemere A,Treloar,2,6,5,12
,Mon,18th,Liss,Eagles,8,1,17,3
,Sun,24th,Haslemere B,Midhurst '82,1,8,3,16
,Tue,26th,Eagles,Midhurst '82,4,5,8,10
April,Tue,11h,Eagles,Liss,4,5,9,10
,Sun,14th,Haslemere B,Eagles,3,5,7,10
,Sun,14th,Treloar,Four Marks,9,0,18,2
,Fri,19th,Midhurst '82,Eagles,9,0,18,1
,Sun,28th,Haslemere B,Liss,4,5,10,10
