MONTH,DAY,DAY OF MONTH,HOME,AWAY,HOME RUBBERS,AWAY RUBBERS,HOME GAMES,AWAY GAMES
October,Thu,11th,Eagles B,Rowledge,2,4,6,8
,Wed,17th,Alresford,Eagles B,1,5,4,10
,Sun,28th,Treloar B,Rowledge,6,0,12,2
November,Wed,14th,Rowledge,Alresford,1,5,2,11
,Sun,18th,Treloar B,Eagles B,3,3,6,8
,Thu,29th,Eagles B,Alresford,3,3,6,7
December,Wed,5th,Rowledge,Treloar B,0,6,0,12
,Wed,12th,Alresford,Treloar B,3,3,6,6
January,Wed,16th,Alresford,Treloar B,1,5,3,10
,Thu,31st,Eagles B,Rowledge,5,1,11,3
February,Thu,7th,Eagles B,Alresford,6,0,12,1
,Sun,10th,Treloar B,Rowledge,6,0,12,0
,Sun,17th,Treloar B,Eagles B,1,5,6,10
March,Thu,21st,Eagles B,Treloar B,1,5,3,10
,Wed,27th,Rowledge,Alresford,1,5,2,11
April,Wed,3rd,Rowledge,Eagles B,1,5,3,10
,Wed,17th,Alresford,Rowledge,5,1,11,2
,Sun,21st,Treloar B,Alresford,6,0,12,1
