MONTH,DAY,DAY OF MONTH,HOME,AWAY,HOME GAMES,AWAY GAMES
October,7:45pm Thu,1st,The Edge,Eagles A,10,4
,7:00pm Wed,14th,Eagles A,Eagles B,10,1
,7:45pm Thu,15th,The Edge,Four Marks,0,12
,7:00pm Mon,19th,Four Marks,Eagles B,12,0
November,7:00pm Mon,2nd,Four Marks,Eagles A,12,2
,7:00pm Wed,11th,Eagles B,The Edge,0,12
,7:00pm Wed,18th,Eagles B,Eagles A,0,12
December,7:00pm Wed,16th,Eagles A,The Grange,0,12
January,7:00pm Wed,13th,Eagles A,Four Marks,3,12
,7:00pm Thu,21st,The Edge,The Grange,3,10
,8:00pm Mon,25th,The Grange,Eagles B,12,0
February,7:00pm Wed,3rd,Four Marks,The Edge,12,1
,7:00pm Wed,3rd,Eagles B,The Grange,0,12
,7:00pm Wed,17th,Eagles A,The Edge,3,10
March,7:00pm Wed,9th,Eagles B,Four Marks,0,12
,8:00pm Mon,21st,The Grange,Eagles A,12,3
,7:00pm Thu,31st,The Edge,Eagles B,12,0
April,7:00pm Mon,4th,Four Marks,The Grange,8,6
,8:00pm Mon,18th,The Grange,The Edge,11,3
,8:00pm Wed,20th,The Grange,Four Marks,8,8
