MONTH,DAY,DAY OF MONTH,HOME,AWAY,HOME RUBBERS,AWAY RUBBERS,HOME GAMES,AWAY GAMES
October,8:00pm Fri,2nd,Midhurst '82,Four Marks A,2,4,4,10
,7:00pm Wed,7th,Eagles A,Four Marks A,1,5,4,10
,7:45pm Thu,8th,The Edge A,Eagles B,5,1,10,3
,8:00pm Fri,16th,Midhurst '82,Eagles A,5,1,11,5
,7:00pm Wed,28th,Eagles A,Eagles B,5,1,10,3
November,7:00pm Wed,4th,Eagles A,The Edge A,1,4,4,9
,7:45pm Thu,12th,The Edge A,Four Marks A,2,4,6,8
,7:00pm Wed,25th,Eagles B,Four Marks A,1,5,2,11
December,7:00pm Wed,9th,Eagles B,Eagles A,1,5,2,10
,8:00pm Fri,11th,Midhurst '82,The Edge A,2,4,5,10
January,7:00pm Wed,6th,Eagles B,Midhurst '82,2,4,5,9
,7:00pm Wed,20th,Four Marks A,Eagles A,6,0,12,1
,7:00pm Wed,20th,Eagles B,The Edge A,0,6,1,12
February,7:00pm Thu,11th,The Edge A,Midhurst '82,3,3,8,8
,7:00pm Mon,22nd,Four Marks A,Eagles B,5,1,11,3
,7:00pm Thu,25th,The Edge A,Eagles A,6,0,12,0
March,7:00pm Mon,21st,Four Marks A,The Edge A,5,1,10,3
April,7:00pm Mon,25th,Four Marks A,Midhurst '82,5,1,11,2
Unplayed, , ,Midhurst '82,Eagles B,0,0,0,0
, , ,Eagles A,Midhurst '82,0,0,0,0
