MONTH,DAY,DAY OF MONTH,HOME,AWAY,HOME GAMES,AWAY GAMES
September,7:45pm Thu,17th,The Edge,Eagles,7,6
,7:45pm Thu,24th,The Edge,Four Marks B,12,0
October,7:00pm Wed,21st,Eagles,Four Marks A,9,7
,7:20pm Fri,23rd,Haslemere,The Edge,11,3
,7:00pm Mon,26th,Four Marks A,Four Marks B,12,1
,8:00pm Fri,30th,Midhurst '82,The Edge,8,8
November,7:00pm Wed,4th,Four Marks A,Midhurst '82,9,6
,8:00pm Fri,13th,Midhurst '82,Eagles,11,5
,7:20pm Fri,13th,Haslemere,Four Marks B,12,1
,7:00pm Mon,23rd,Four Marks B,The Edge,0,12
,7:00pm Mon,30th,Four Marks B,Eagles,1,12
December,8:00pm Tue,1st,Midhurst '82,Haslemere,8,5
,7:00pm Mon,7th,Four Marks B,Four Marks A,2,12
January,7:00pm Mon,4th,Four Marks A,Haslemere,10,4
,7:00pm Thu,14th,The Edge,Four Marks A,12,3
,7:00pm Mon,25th,Four Marks B,Haslemere,3,12
,7:00pm Wed,27th,Eagles,Midhurst '82,6,6
February,7:20pm Fri,5th,Haslemere,Midhurst '82,7,7
,7:00pm Wed,10th,Four Marks A,The Edge,7,7
,7:00pm Wed,10th,Eagles,Haslemere,3,12
March,7:20pm Fri,4th,Haslemere,Four Marks A,4,10
,7:00pm Thu,10th,The Edge,Haslemere,11,2
,8:00pm Fri,11th,Midhurst '82,Four Marks A,7,8
,7:00pm Wed,23rd,Eagles,The Edge,2,12
April,8:00pm Fri,1st,The Edge,Midhurst '82,8,4
,7:00pm Wed,13th,Eagles,Four Marks B,12,1
,8:00pm Fri,15th,Midhurst '82,Four Marks B,12,0
,7:00pm Mon,18th,Four Marks B,Midhurst '82,0,12
,7:00pm Wed,27th,Four Marks A,Eagles,10,2
Walkover, , ,Haslemere,Eagles,12,0
