MONTH,DAY,DAY OF MONTH,HOME,AWAY,HOME GAMES,AWAY GAMES
September,Tue,27th,Eagles,Liss,12,1
October,Tue,11th,Eagles,Four Marks,1,12
November,Tue,1st,The Grange,Eagles,11,3
,Tue,8th,Eagles,Midhurst '82,8,4
,Tue,22nd,The Grange,Midhurst '82,12,3
December,Tue,6th,The Grange,Four Marks,6,9
,Sun,11th,Liss,The Grange,5,11
January,Sun,8th,Liss,Four Marks,1,12
,Sun,22nd,Liss,Midhurst '82,9,6
February,Fri,24th,Midhurst '82,Eagles,10,3
,Wed,29th,Four Marks,Liss,12,1
March,Mon,5th,Four Marks,Midhurst '82,12,0
,Tue,6th,Eagles,The Grange,3,10
April,Tue,10th,Midhurst '82,Four Marks,1,12
,Sun,15th,Liss,Eagles,5,9
,Mon,23rd,Four Marks,Eagles,12,0
,Tue,24th,The Grange,Liss,11,4
Unplayed, , ,Midhurst '82,Liss,0,0
, , ,Midhurst '82,The Grange,0,0
Walkover, , ,Four Marks,The Grange,12,0
