MONTH,DAY,DAY OF MONTH,HOME,AWAY,HOME RUBBERS,AWAY RUBBERS,HOME GAMES,AWAY GAMES
September,Wed,14th,Four Marks A,Four Marks B,5,1,11,4
,Thu,29th,The Edge A,Four Marks B,6,0,12,0
October,Mon,17th,Four Marks A,The Edge A,5,1,10,4
,Tue,25th,The Grange A,The Edge A,2,4,6,10
November,Tue,8th,The Grange A,Four Marks A,2,4,4,8
December,Mon,19th,Four Marks B,Four Marks A,0,6,3,12
January,Mon,23rd,Four Marks B,The Edge A,2,4,5,9
March,Tue,13th,The Grange A,Four Marks B,4,2,8,4
,Thu,15th,The Edge A,Four Marks A,0,6,2,12
April,Wed,4th,Four Marks A,The Grange A,3,3,8,6
,Wed,11th,Four Marks B,The Grange A,0,6,1,12
,Thu,19th,The Edge A,The Grange A,4,2,9,6
