MONTH,DAY,DAY OF MONTH,HOME,AWAY,HOME RUBBERS,AWAY RUBBERS,HOME GAMES,AWAY GAMES
September,Thu,8th,The Edge B,The Edge C,6,0,12,2
,Wed,21st,Alresford,The Edge C,3,3,8,6
October,Tue,4th,The Grange B,The Edge C,6,0,12,0
,Tue,11th,The Grange B,The Edge B,5,1,10,2
,Tue,18th,Eagles,Alresford,5,0,12,1
November,Thu,21st,The Edge C,The Edge B,2,4,5,9
,Tue,22nd,Eagles,The Edge B,5,1,11,5
December,Wed,7th,Alresford,The Edge B,1,5,2,11
,Thu,8th,The Edge C,Eagles,0,6,0,12
,Tue,13th,Eagles,The Grange B,4,2,8,4
January,Wed,25th,Alresford,Eagles,0,6,0,12
February,Tue,28th,The Grange B,Alresford,5,1,10,2
March,Thu,1st,The Edge B,Eagles,2,4,5,10
,Thu,15th,The Edge B,Alresford,4,1,11,2
,Tue,20th,The Grange B,Eagles,1,5,2,11
,Thu,29th,The Edge C,Alresford,6,0,12,1
April,Thu,5th,The Edge B,The Grange B,3,3,8,7
,Wed,25th,Alresford,The Grange B,2,4,6,8
Unplayed, , ,The Edge C,The Grange B,0,0,,
,Tue,31st,Eagles,The Edge C,0,0,,
