MONTH,DAY,DAY OF MONTH,HOME,AWAY,HOME RUBBERS,AWAY RUBBERS,HOME GAMES,AWAY GAMES
September,Wed,20th,Bourne,Four Marks B,3,3,6,7
,Thu,28th,Four Marks A,Four Marks B,5,1,10,4
October,Thu,5th,Eagles,Treloar,0,6,2,12
,Mon,9th,Bordon,Bourne,6,0,12,2
,Sun,15th,Treloar,Alresford,6,0,12,2
,Mon,16th,Bordon,Rowledge,6,0,12,2
,Mon,16th,Four Marks B,Eagles,6,0,12,3
,Mon,23rd,Four Marks B,Bordon,2,4,6,9
,Thu,26th,Eagles,Four Marks A,0,6,12,0
November,Fri,3rd,Rowledge,Treloar,0,6,0,12
,Mon,6th,Four Marks A,Treloar,4,2,9,4
,Wed,8th,Alresford,Bordon,0,6,0,12
,Thu,9th,Eagles,Bourne,4,2,8,4
,Sun,12th,Treloar,Bordon,5,1,10,3
,Wed,15th,Alresford,Rowledge,3,3,8,7
,Mon,20th,Bourne,Rowledge,3,3,6,8
December,Fri,1st,Rowledge,Alresford,0,6,0,12
,Sun,3rd,Treloar,Bourne,6,0,12,1
,Thu,7th,Eagles,Bordon,5,1,10,2
,Sun,10th,Treloar,Four Marks B,3,3,8,6
,Mon,11th,Bordon,Four Marks A,3,3,6,7
,Wed,13th,Alresford,Eagles,1,5,4,10
,Thu,21st,Four Marks B,Four Marks A,3,3,7,7
January,Fri,5th,Rowledge,Four Marks A,1,5,5,10
,Sun,7th,Treloar,Eagles,5,1,10,3
,Mon,8th,Bourne,Four Marks A,0,6,2,12
,Wed,10th,Alresford,Four Marks B,4,2,8,5
,Thu,18th,Eagles,Rowledge,2,4,7,10
,Sun,21st,Treloar,Rowledge,6,0,12,1
,Wed,24th,Bourne,Treloar,0,6,1,12
,Mon,29th,Bordon,Alresford,3,3,6,7
February,Wed,7th,Alresford,Treloar,1,5,2,10
,Wed,7th,Bourne,Bordon,4,2,8,6
,Mon,12th,Bordon,Eagles,1,5,3,10
,Wed,14th,Alresford,Bourne,3,3,6,6
,Thu,22nd,Eagles,Four Marks B,4,2,8,4
,Fri,23rd,Rowledge,Bordon,1,5,3,10
,Wed,28th,Bourne,Alresford,4,2,9,4
March,Thu,8th,Four Marks A,Bordon,6,0,12,1
,Sun,11th,Treloar,Four Marks A,3,3,8,7
,Mon,12th,Bordon,Four Marks B,3,3,6,6
,Thu,15th,Eagles,Alresford,4,2,8,4
,Thu,15th,Four Marks A,Rowledge,6,0,12,1
,Mon,19th,Four Marks B,Treloar,4,2,8,4
,Wed,21st,Alresford,Four Marks A,4,2,8,6
,Wed,21st,Four Marks B,Bourne,5,1,11,2
,Mon,26th,Bordon,Treloar,0,6,2,12
,Mon,26th,Four Marks B,Rowledge,3,3,9,6
April,Mon,2nd,Four Marks A,Bourne,2,4,4,10
,Wed,4th,Bourne,Eagles,6,0,12,0
,Thu,5th,Four Marks A,Alresford,3,3,7,7
,Fri,6th,Rowledge,Four Marks B,3,3,7,8
,Wed,11th,Rowledge,Eagles,4,2,10,5
,Wed,11th,Four Marks A,Eagles,0,6,0,12
,Thu,19th,Four Marks B,Alresford,3,3,6,6
,Fri,20th,Rowledge,Bourne,1,5,10,2
