MONTH,DAY,DAY OF MONTH,HOME,AWAY,HOME POINTS,AWAY POINTS
September,Fri,29th,Petersfield,Eagles,169,145
October,Thu,5th,Chiddingfold,Four Marks B,108,187
,Thu,12th,Four Marks A,Four Marks B,189,102
,Fri,20th,Petersfield,Four Marks A,124,163
November,Thu,2nd,Eagles,Four Marks A,129,183
,Fri,3rd,Petersfield,Four Marks B,127,181
,Thu,9th,Four Marks B,Chiddingfold,185,117
,Fri,24th,Petersfield,Chiddingfold,177,129
,Mon,27th,Four Marks B,Eagles,161,168
December,Mon,4th,Four Marks A,Chiddingfold,189,63
,Thu,7th,Four Marks A,Petersfield,189,47
,Tue,12th,Four Marks B,Four Marks A,133,176
,Thu,14th,Chiddingfold,Eagles,100,189
January,Thu,11th,Eagles,Chiddingfold,189,81
,Thu,25th,Eagles,Four Marks B,117,175
February,Fri,9th,Chiddingfold,Four Marks A,55,189
March,Thu,1st,Chiddingfold,Petersfield,109,189
,Mon,5th,Four Marks A,Eagles,189,109
,Thu,29th,Eagles,Petersfield,184,96
,Thu,12th,Four Marks B,Petersfield,185,115
