MONTH,DAY,DAY OF MONTH,HOME,AWAY,HOME RUBBERS,AWAY RUBBERS,HOME GAMES,AWAY GAMES
September,Sun,17th,Haslemere B,Bordon,8,1,16,3
,Thu,21st,Four Marks,Liss,1,8,4,16
,Sun,24th,Haslemere B,Treloar,6,3,13,9
,Mon,25th,Bordon,Four Marks,2,7,4,15
,Tue,26th,Eagles,Liss,0,9,1,18
October,Mon,2nd,Bordon,Haslemere B,2,7,4,15
,Sun,8th,Haslemere B,Four Marks,4,5,8,11
,Sun,8th,Treloar,Midhurst '82,4,5,10,10
,Mon,16th,Liss,Bordon,9,0,18,0
,Thu,19th,Four Marks,Treloar,3,6,8,13
,Sun,22nd,Haslemere B,Midhurst '82,2,7,4,15
,Mon,23rd,Bordon,Haslemere A,0,9,0,18
,Sun,29th,Treloar,Eagles,8,1,17,6
,Mon,30th,Four Marks,Haslemere A,2,7,6,15
November,Sun,5th,Haslemere B,Liss,3,6,7,12
,Tue,7th,Eagles,Midhurst '82,5,4,10,9
,Mon,13th,Liss,Midhurst '82,5,4,10,9
,Thu,16th,Eagles,Bordon,8,1,17,3
,Mon,20th,Bordon,Treloar,0,9,1,18
,Mon,20th,Four Marks,Midhurst '82,0,9,1,18
,Thu,23rd,Eagles,Haslemere B,6,3,13,7
,Sun,26th,Haslemere A,Midhurst '82,4,5,10,10
,Sun,26th,Treloar,Liss,5,4,11,10
,Thu,30th,Four Marks,Eagles,5,4,11,8
December,Fri,1st,Midhurst '82,Bordon,9,0,18,0
,Sun,3rd,Haslemere B,Eagles,4,5,9,10
,Sun,10th,Haslemere A,Haslemere B,9,0,18,1
,Sun,17th,Haslemere B,Haslemere A,0,9,0,18
January,Fri,12th,Midhurst '82,Haslemere B,5,4,11,8
,Sun,14th,Haslemere A,Eagles,5,4,12,9
,Sun,14th,Treloar,Four Marks,8,1,17,3
,Mon,15th,Bordon,Liss,0,9,0,18
,Thu,18th,Four Marks,Haslemere B,4,5,10,12
,Fri,26th,Midhurst '82,Four Marks,9,0,18,2
,Sun,28th,Haslemere A,Liss,4,5,8,10
,Tue,30th,Eagles,Treloar,1,8,3,16
February,Thu,1st,Four Marks,Bordon,5,4,11,9
,Sun,4th,Treloar,Haslemere B,8,1,16,6
,Fri,9th,Midhurst '82,Eagles,5,4,10,8
,Sun,11th,Haslemere A,Treloar,3,6,8,13
,Mon,12th,Liss,Four Marks,8,1,16,3
,Fri,23rd,Midhurst '82,Liss,7,2,14,5
,Sun,25th,Treloar,Bordon,6,3,12,6
March,Thu,1st,Eagles,Four Marks,6,3,13,7
,Mon,5th,Liss,Treloar,3,6,6,12
,Thu,8th,Eagles,Haslemere A,3,6,7,13
,Sun,18th,Haslemere A,Four Marks,8,1,16,3
,Mon,19th,Bordon,Eagles,2,7,5,14
,Fri,23rd,Midhurst '82,Treloar,6,3,3,7
,Sun,25th,Haslemere A,Bordon,9,0,18,0
,Mon,26th,Liss,Eagles,6,3,14,104
April,Sun,1st,Treloar,Haslemere A,4,5,10,13
,Fri,6th,Midhurst '82,Haslemere A,3,6,7,12
,Mon,9th,Bordon,Midhurst '82,0,9,0,18
,Mon,9th,Liss,Haslemere A,2,7,5,14
,Mon,9th,Liss,Haslemere B,6,3,12,7
