MONTH,DAY,DAY OF MONTH,HOME,AWAY,HOME RUBBERS,AWAY RUBBERS,HOME GAMES,AWAY GAMES
October,Fri,8th,Petersfield,Liss,1,5,2,11
,Wed,13th,Eagles B,Treloar B,5,1,11,4
,Fri,22nd,Petersfield,Four Marks B,2,4,6,8
November,Wed,17th,Four Marks B,Treloar B,3,3,6,6
,Fri,19th,Petersfield,Eagles B,2,4,6,10
,Mon,22nd,Four Marks B,Liss,2,4,4,9
December,Wed,8th,Eagles B,Four Marks B,5,1,11,3
January,Fri,7th,Liss,Petersfield,5,1,10,3
,Sun,23rd,Liss,Treloar B,1,5,2,11
February,Sun,6th,Treloar B,Eagles B,4,2,8,4
,Wed,9th,Eagles B,Petersfield,6,0,12,0
,Fri,11th,Petersfield,Treloar B,6,0,12,0
,Wed,23rd,Eagles B,Liss,6,0,21,1
,Sun,27th,Liss,Eagles B,6,0,12,0
,Sun,27th,Treloar B,Four Marks B,0,6,0,12
March,Sun,6th,Treloar B,Liss,0,6,0,12
,Wed,9th,Four Marks B,Petersfield,6,0,12,0
,Fri,18th,Liss,Four Marks B,4,2,9,6
April,Mon,4th,Four Marks B,Eagles B,3,3,6,7
,Sun,10th,Treloar B,Petersfield,5,1,11,3
