MONTH,DAY,DAY OF MONTH,HOME,AWAY,HOME RUBBERS,AWAY RUBBERS,HOME GAMES,AWAY GAMES
October,Sun,17th,Haslemere A,Treloar,6,3,14,8
,Sun,17th,Liss,Midhurst '82,4,5,0,0
,Tue,19th,Eagles,Haslemere A,4,5,8,11
November,Sun,7th,Haslemere B,Liss,4,5,8,11
,Tue,9th,Eagles,Midhurst '82,0,9,1,18
,Fri,19th,Midhurst '82,Treloar,6,3,12,9
,Fri,19th,Liss,Haslemere B,7,2,15,4
,Tue,23rd,Eagles,Treloar,0,9,0,18
,Fri,26th,Midhurst '82,Haslemere A,5,4,10,10
,Sun,28th,Liss,Eagles,6,3,13,7
December,Sun,5th,Treloar,Haslemere A,6,3,12,8
,Sun,12th,Haslemere B,Haslemere A,3,6,6,13
,Sun,19th,Haslemere A,Haslemere B,7,2,15,5
January,Sun,9th,Haslemere B,Eagles,7,2,16,4
,Fri,14th,Midhurst '82,Haslemere B,6,3,12,6
,Sun,16th,Treloar,Liss,8,1,17,3
,Sun,23rd,Haslemere A,Eagles,7,2,14,5
,Sun,30th,Treloar,Eagles,8,1,16,3
February,Fri,4th,Midhurst '82,Liss,7,2,15,6
,Sun,13th,Haslemere A,Midhurst '82,9,0,0,0
,Sun,20th,Treloar,Midhurst '82,9,0,18,0
March,Tue,1st,Eagles,Liss,4,5,8,12
,Sun,13th,Haslemere A,Liss,6,3,13,7
,Tue,15th,Eagles,Haslemere B,3,6,6,12
,Sun,20th,Treloar,Haslemere B,9,0,18,3
,Thu,31st,Liss,Haslemere A,6,3,12,8
April,Wed,6th,Haslemere B,Treloar,4,5,13,10
,Fri,8th,Midhurst '82,Eagles,4,5,0,0
,Sun,17th,Liss,Treloar,3,6,7,14
,Sun,17th,Haslemere B,Midhurst '82,6,3,12,7
