MONTH,DAY,DAY OF MONTH,HOME,AWAY,HOME RUBBERS,AWAY RUBBERS,HOME GAMES,AWAY GAMES
October,Wed,6th,Eagles A,Four Marks A,4,2,9,4
,Wed,13th,Alresford,Four Marks A,5,1,11,5
November,Mon,1st,Four Marks A,Treloar A,0,6,0,12
,Sun,7th,Treloar A,Eagles A,6,0,12,0
,Wed,17th,Eagles A,Alresford,2,4,4,8
,Sun,28th,Treloar A,Alresford,4,2,9,6
January,Sun,23rd,Treloar A,Four Marks A,5,1,11,2
,Wed,26th,Alresford,Eagles A,3,3,7,6
February,Mon,7th,Four Marks A,Eagles A,3,3,8,7
,Wed,9th,Four Marks A,Alresford,3,3,7,9
March,Wed,9th,Eagles A,Treloar A,0,6,2,12
April,Wed,13th,Alresford,Treloar A,3,3,6,7
