MONTH,TIME,DAY,HOME,AWAY,HOME GAMES,AWAY GAMES,HOME RUBBERS,AWAY RUBBERS
November,8:00pm Wed,17,Eagles,Four Marks,4,8,2,4
,8:00pm Wed,24,Eagles,Haslemere,9,5,5,1
,8:00pm Tue,30,Midhurst,Haslemere,6,6,3,3
January,8:00pm Wed,5,Eagles,Midhurst,5,11,1,5
,7:00pm Fri,21,Haslemere,Midhurst,8,7,3,3
February,7:00pm Wed,2,Four Marks,Haslemere,7,9,2,4
,7:00pm Wed,23,Four Marks,Midhurst,7,6,3,3
March,7:00pm Fri,4,Haslemere,Eagles,9,4,4,2
,8:00pm Tue,8,Midhurst,Four Marks,8,5,4,2
,7:00pm Fri,18,Haslemere,Four Marks,10,2,5,1
,7:00pm Wed,23,Four Marks,Eagles,11,3,5,1
April ,8:00pm Tue,26,Midhurst,Eagles,7,6,3,3
