MONTH,DAY,DAY OF MONTH,HOME,AWAY,HOME RUBBERS,AWAY RUBBERS,HOME GAMES,AWAY GAMES
October,7:30pm Wed,18th,Alresford,Eagles B,3,3,6,6
November,7:40pm Wed,22nd,Eagles B,Four Marks B,4,2,8,5
,8:00pm Thu,23rd,The Edge,Alresford,4,2,9,5
December,7:40pm Wed,6th,Eagles B,The Edge,5,1,10,3
January,7:30pm Wed,17th,Alresford,The Edge,4,2,8,5
,7:00pm Wed,31st,Four Marks B,Alresford,3,3,8,6
February,8:00pm Thu,15th,The Edge,Eagles B,3,3,6,6
March,7:00pm Wed,7th,Four Marks B,Eagles B,5,1,10,2
,7:00pm Mon,26th,Four Marks B,The Edge,4,2,8,4
,7:40pm Wed,28th,Eagles B,Alresford,4,2,9,5
April,7:30pm Wed,11th,Alresford,Four Marks B,3,3,7,7
,8:00pm Thu,19th,The Edge,Four Marks B,3,3,6,8
