MONTH,DAY,DAY OF MONTH,HOME,AWAY,HOME GAMES,AWAY GAMES
September,7:40pm Wed,20th,Eagles A,Eagles B,10,4
,7:40pm Wed,27th,Eagles B,Four Marks,0,12
October,7:00pm Mon,16th,Four Marks,Eagles A,9,6
,8:00pm Tue,31st,The Grange,Eagles B,12,0
November,7:40pm Wed,15th,Eagles B,Eagles A,1,12
,8:00pm Tue,21st,The Grange,Four Marks,8,5
,7:40pm Wed,29th,Eagles A,The Grange,1,10
January,7:00pm Mon,15th,Four Marks,The Grange,8,8
,8:00pm Tue,23rd,The Grange,Eagles A,12,2
February,7:40pm Wed,7th,Eagles A,Four Marks,4,12
April,8:00pm Wed,11th,Eagles B,The Grange,0,12
,7:00pm Mon,16th,Four Marks,Eagles B,12,0
