MONTH,DAY,DAY OF MONTH,HOME,AWAY,HOME GAMES,AWAY GAMES
October,7:00pm Mon,2nd,Four Marks A,Four Marks B,12,0
,7:45pm Fri,6th,Haslemere,Eagles,12,1
,8:00pm Mon,9th,Midhurst ‘82,Four Marks B,12,0
,7:00pm Wed,11th,Eagles,Four Marks A,2,10
,7:00pm Wed,25th,Eagles,Midhurst ‘82,5,8
November,8:00pm Mon,6th,Midhurst ‘82,Haslemere,6,6
,7:00pm Wed,8th,Four Marks B,Eagles,4,8
,8:00pm Mon,13th,Midhurst ‘82,Four Marks A,10,5
,7:45pm Fri,24th,Haslemere,Four Marks A,4,11
,7:00pm Mon,27th,Four Marks B,Four Marks A,1,12
December,7:00pm Mon,4th,Four Marks B,Haslemere,3,10
January,7:00pm Wed,17th,Eagles,Four Marks B,10,4
February,7:00pm Mon,5th,Four Marks A,Haslemere,10,6
,8:00pm Mon,5th,Midhurst ‘82,Eagles,12,1
,7:00pm Mon,19th,Four Marks A,Eagles,10,4
March,7:00pm Mon,5th,Four Marks B,Midhurst ‘82,9,5
,7:45pm Fri,16th,Haslemere,Midhurst ‘82,7,6
,7:00pm Wed,21st,Eagles,Haslemere,2,11
,7:45pm Fri,23rd,Haslemere,Four Marks B,12,1
April,7:00pm Wed,11th,Four Marks A,Midhurst ‘82,12,1
